排名,名称,年份,发行商,北美销量(百万),欧洲销量(百万),日本销量(百万),其他地区销量(百万),全球销量(百万),类型,平台
1,Wii Sports,2006,Nintendo,41.49,29.02,3.77,8.46,82.74,体育,任天堂Wii
2,Super Mario Bros.,1985,Nintendo,29.08,3.58,6.81,0.77,40.24,平台跳跃,任天堂红白机
3,Mario Kart Wii,2008,Nintendo,15.85,12.88,3.79,3.31,35.82,竞速,任天堂Wii
4,Wii Sports Resort,2009,Nintendo,15.75,11.01,3.28,2.96,33,体育,任天堂Wii
5,Pokemon Red/Pokemon Blue,1996,Nintendo,11.27,8.89,10.22,1,31.37,角色扮演,任天堂Game Boy
6,Tetris,1989,Nintendo,23.2,2.26,4.22,0.58,30.26,益智,任天堂Game Boy
7,New Super Mario Bros.,2006,Nintendo,11.38,9.23,6.5,2.9,30.01,平台跳跃,任天堂DS
8,Wii Play,2006,Nintendo,14.03,9.2,2.93,2.85,29.02,杂项,任天堂Wii
9,New Super Mario Bros. Wii,2009,Nintendo,14.59,7.06,4.7,2.26,28.62,平台跳跃,任天堂Wii
10,Duck Hunt,1984,Nintendo,26.93,0.63,0.28,0.47,28.31,射击,任天堂红白机
11,Nintendogs,2005,Nintendo,9.07,11,1.93,2.75,24.76,模拟,任天堂DS
12,Mario Kart DS,2005,Nintendo,9.81,7.57,4.13,1.92,23.42,竞速,任天堂DS
13,Pokemon Gold/Pokemon Silver,1999,Nintendo,9,6.18,7.2,0.71,23.1,角色扮演,任天堂Game Boy
14,Wii Fit,2007,Nintendo,8.94,8.03,3.6,2.15,22.72,体育,任天堂Wii
15,Wii Fit Plus,2009,Nintendo,9.09,8.59,2.53,1.79,22,体育,任天堂Wii
16,Kinect Adventures!,2010,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,杂项,Xbox 360
17,Grand Theft Auto V,2013,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,动作,PlayStation 3
18,Grand Theft Auto: San Andreas,2004,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,动作,PlayStation 2
19,Super Mario World,1990,Nintendo,12.78,3.75,3.54,0.55,20.61,平台跳跃,超级任天堂
20,Brain Age: Train Your Brain in Minutes a Day,2005,Nintendo,4.75,9.26,4.16,2.05,20.22,杂项,任天堂DS
21,Pokemon Diamond/Pokemon Pearl,2006,Nintendo,6.42,4.52,6.04,1.37,18.36,角色扮演,任天堂DS
22,Super Mario Land,1989,Nintendo,10.83,2.71,4.18,0.42,18.14,平台跳跃,任天堂Game Boy
23,Super Mario Bros. 3,1988,Nintendo,9.54,3.44,3.84,0.46,17.28,平台跳跃,任天堂红白机
24,Grand Theft Auto V,2013,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,动作,Xbox 360
25,Grand Theft Auto: Vice City,2002,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,动作,PlayStation 2
26,Pokemon Ruby/Pokemon Sapphire,2002,Nintendo,6.06,3.9,5.38,0.5,15.85,角色扮演,任天堂Game Boy Advance
27,Pokemon Black/Pokemon White,2010,Nintendo,5.57,3.28,5.65,0.82,15.32,角色扮演,任天堂DS
28,Brain Age 2: More Training in Minutes a Day,2005,Nintendo,3.44,5.36,5.32,1.18,15.3,益智,任天堂DS
29,Gran Turismo 3: A-Spec,2001,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,竞速,PlayStation 2
30,Call of Duty: Modern Warfare 3,2011,Activision,9.03,4.28,0.13,1.32,14.76,射击,Xbox 360
31,Pokémon Yellow: Special Pikachu Edition,1998,Nintendo,5.89,5.04,3.12,0.59,14.64,角色扮演,任天堂Game Boy
32,Call of Duty: Black Ops,2010,Activision,9.67,3.73,0.11,1.13,14.64,射击,Xbox 360
33,Pokemon X/Pokemon Y,2013,Nintendo,5.17,4.05,4.34,0.79,14.35,角色扮演,任天堂3DS
34,Call of Duty: Black Ops 3,2015,Activision,5.77,5.81,0.35,2.31,14.24,射击,PlayStation 4
35,Call of Duty: Black Ops II,2012,Activision,4.99,5.88,0.65,2.52,14.03,射击,PlayStation 3
36,Call of Duty: Black Ops II,2012,Activision,8.25,4.3,0.07,1.12,13.73,射击,Xbox 360
37,Call of Duty: Modern Warfare 2,2009,Activision,8.52,3.63,0.08,1.29,13.51,射击,Xbox 360
38,Call of Duty: Modern Warfare 3,2011,Activision,5.54,5.82,0.49,1.62,13.46,射击,PlayStation 3
39,Grand Theft Auto III,2001,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,动作,PlayStation 2
40,Super Smash Bros. Brawl,2008,Nintendo,6.75,2.61,2.66,1.02,13.04,格斗,任天堂Wii
41,Call of Duty: Black Ops,2010,Activision,5.98,4.44,0.48,1.83,12.73,射击,PlayStation 3
42,Animal Crossing: Wild World,2005,Nintendo,2.55,3.52,5.33,0.88,12.27,模拟,任天堂DS
43,Mario Kart 7,2011,Nintendo,4.74,3.91,2.67,0.89,12.21,竞速,任天堂3DS
44,Halo 3,2007,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,射击,Xbox 360
45,Grand Theft Auto V,2014,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,动作,PlayStation 4
46,Pokemon HeartGold/Pokemon SoulSilver,2009,Nintendo,4.4,2.77,3.96,0.77,11.9,动作,任天堂DS
47,Super Mario 64,1996,Nintendo,6.91,2.85,1.91,0.23,11.89,平台跳跃,任天堂64
48,Gran Turismo 4,2004,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,竞速,PlayStation 2
49,Super Mario Galaxy,2007,Nintendo,6.16,3.4,1.2,0.76,11.52,平台跳跃,任天堂Wii
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Nintendo,4.23,3.37,3.08,0.65,11.33,角色扮演,任天堂3DS
51,Super Mario Land 2: 6 Golden Coins,1992,Nintendo,6.16,2.04,2.69,0.29,11.18,冒险,任天堂Game Boy
52,Grand Theft Auto IV,2008,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,动作,Xbox 360
53,Gran Turismo,1997,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,竞速,PlayStation
54,Super Mario 3D Land,2011,Nintendo,4.89,2.99,2.13,0.78,10.79,平台跳跃,任天堂3DS
55,Gran Turismo 5,2010,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,竞速,PlayStation 3
56,Call of Duty: Modern Warfare 2,2009,Activision,4.99,3.69,0.38,1.63,10.69,射击,PlayStation 3
57,Grand Theft Auto IV,2008,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,动作,PlayStation 3
58,Super Mario All-Stars,1993,Nintendo,5.99,2.15,2.12,0.29,10.55,平台跳跃,超级任天堂
59,Pokemon FireRed/Pokemon LeafGreen,2004,Nintendo,4.34,2.65,3.15,0.35,10.49,角色扮演,任天堂Game Boy Advance
60,Super Mario 64,2004,Nintendo,5.08,3.11,1.25,0.98,10.42,平台跳跃,任天堂DS
61,Just Dance 3,2011,Ubisoft,6.05,3.15,0,1.07,10.26,杂项,任天堂Wii
62,Call of Duty: Ghosts,2013,Activision,6.72,2.63,0.04,0.82,10.21,射击,Xbox 360
63,Halo: Reach,2010,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,射击,Xbox 360
64,Mario Kart 64,1996,Nintendo,5.55,1.94,2.23,0.15,9.87,竞速,任天堂64
65,New Super Mario Bros. 2,2012,Nintendo,3.66,3.07,2.47,0.63,9.82,平台跳跃,任天堂3DS
66,Halo 4,2012,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,射击,Xbox 360
67,Final Fantasy VII,1997,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,角色扮演,PlayStation
68,Call of Duty: Ghosts,2013,Activision,4.09,3.73,0.38,1.38,9.59,射击,PlayStation 3
69,Just Dance 2,2010,Ubisoft,5.84,2.89,0.01,0.78,9.52,杂项,任天堂Wii
70,Gran Turismo 2,1999,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,竞速,PlayStation
71,Call of Duty 4: Modern Warfare,2007,Activision,5.91,2.38,0.13,0.9,9.32,射击,Xbox 360
72,Donkey Kong Country,1994,Nintendo,4.36,1.71,3,0.23,9.3,平台跳跃,超级任天堂
73,Minecraft,2013,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,杂项,Xbox 360
74,Animal Crossing: New Leaf,2012,Nintendo,2.01,2.32,4.36,0.41,9.09,模拟,任天堂3DS
75,Mario Party DS,2007,Nintendo,4.46,1.88,1.98,0.7,9.02,杂项,任天堂DS
76,The Elder Scrolls V: Skyrim,2011,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,角色扮演,Xbox 360
77,Super Mario Kart,1992,Nintendo,3.54,1.24,3.81,0.18,8.76,竞速,超级任天堂
78,FIFA 16,2015,Electronic Arts,1.11,6.06,0.06,1.26,8.49,体育,PlayStation 4
79,Wii Party,2010,Nintendo,1.79,3.53,2.49,0.68,8.49,杂项,任天堂Wii
80,Halo 2,2004,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,射击,Xbox
81,Mario Party 8,2007,Nintendo,3.81,2.3,1.58,0.73,8.42,杂项,任天堂Wii
82,Pokemon Black 2/Pokemon White 2,2012,Nintendo,2.91,1.86,3.14,0.43,8.33,角色扮演,任天堂DS
83,FIFA Soccer 13,2012,Electronic Arts,1.06,5.05,0.13,2.01,8.24,动作,PlayStation 3
84,The Sims 3,2009,Electronic Arts,0.98,6.42,0,0.71,8.11,模拟,个人电脑
85,GoldenEye 007,1997,Nintendo,5.8,2.01,0.13,0.15,8.09,射击,任天堂64
86,Mario & Sonic at the Olympic Games,2007,Sega,2.58,3.9,0.66,0.91,8.06,体育,任天堂Wii
87,Final Fantasy X,2001,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,角色扮演,PlayStation 2
88,Final Fantasy VIII,1999,SquareSoft,2.28,1.72,3.63,0.23,7.86,角色扮演,PlayStation
89,Pokémon Platinum Version,2008,Nintendo,2.82,1.78,2.69,0.55,7.84,角色扮演,任天堂DS
90,Pac-Man,1982,Atari,7.28,0.45,0,0.08,7.81,益智,Atari 2600
91,Grand Theft Auto: Liberty City Stories,2005,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,动作,PlayStation Portable
