品种,批发市场,最高价,最低价,大宗价,单位,提取时间
猕猴桃,山西省太原市河西农产品有限公司,7,4.6,5.8,元/公斤,2025-9-16 17:50
红毛丹,山西省太原市河西农产品有限公司,40,24,32,元/公斤,2025-9-16 17:50
火龙果,山西省太原市河西农产品有限公司,5.6,3.6,4.6,元/公斤,2025-9-16 17:50
木瓜,山西省太原市河西农产品有限公司,11,7,9,元/公斤,2025-9-16 17:50
芒果,山西省太原市河西农产品有限公司,12,8,10,元/公斤,2025-9-16 17:50
龙眼(桂圆),山西省太原市河西农产品有限公司,14,10,12,元/公斤,2025-9-16 17:50
菠萝,山西省太原市河西农产品有限公司,20,10,15,元/公斤,2025-9-16 17:50
香蕉,山西省太原市河西农产品有限公司,4.4,3.4,3.9,元/公斤,2025-9-16 17:50
柠檬,山西省太原市河西农产品有限公司,20,20,20,元/公斤,2025-9-16 17:50
柚子,山西省太原市河西农产品有限公司,12,5.6,8.8,元/公斤,2025-9-16 17:50
橘、柑,山西省太原市河西农产品有限公司,18,14,16,元/公斤,2025-9-16 17:50
腰果,山西省太原市河西农产品有限公司,90,56,73,元/公斤,2025-9-16 17:50
杏仁,山西省太原市河西农产品有限公司,80,64,72,元/公斤,2025-9-16 17:50
开心果,山西省太原市河西农产品有限公司,98,74,86,元/公斤,2025-9-16 17:50
核桃,山西省太原市河西农产品有限公司,30,16,23,元/公斤,2025-9-16 17:50
大白菜,山西省太原市河西农产品有限公司,1.8,1.8,1.8,元/公斤,2025-9-16 17:50
哈密瓜,山西省太原市河西农产品有限公司,4,4,4,元/公斤,2025-9-16 17:50
西瓜,山西省太原市河西农产品有限公司,6,2.2,4.1,元/公斤,2025-9-16 17:50
菠萝蜜,山西省太原市河西农产品有限公司,12,9,10.5,元/公斤,2025-9-16 17:50
山竹,山西省太原市河西农产品有限公司,26,18,22,元/公斤,2025-9-16 17:50
人参果,山西省太原市河西农产品有限公司,12,10,11,元/公斤,2025-9-16 17:50
枇杷,山西省太原市河西农产品有限公司,30,28,29,元/公斤,2025-9-16 17:50
榴莲,山西省太原市河西农产品有限公司,54,36,45,元/公斤,2025-9-16 17:50
苹果,山西省太原市河西农产品有限公司,10,6,8,元/公斤,2025-9-16 17:50
豇豆,山西省太原市河西农产品有限公司,7,7,7,元/公斤,2025-9-16 17:50
荷兰豆,山西省太原市河西农产品有限公司,18,16,17,元/公斤,2025-9-16 17:50
豆角,山西省太原市河西农产品有限公司,7,7,7,元/公斤,2025-9-16 17:50
丝瓜,山西省太原市河西农产品有限公司,9,9,9,元/公斤,2025-9-16 17:50
佛手瓜,山西省太原市河西农产品有限公司,8,7,7.5,元/公斤,2025-9-16 17:50
冬瓜,山西省太原市河西农产品有限公司,1.6,1.6,1.6,元/公斤,2025-9-16 17:50
南瓜,山西省太原市河西农产品有限公司,2.2,2.2,2.2,元/公斤,2025-9-16 17:50
苦瓜,山西省太原市河西农产品有限公司,7,7,7,元/公斤,2025-9-16 17:50
西葫芦,山西省太原市河西农产品有限公司,4,4,4,元/公斤,2025-9-16 17:50
黄瓜,山西省太原市河西农产品有限公司,6,6,6,元/公斤,2025-9-16 17:50
茄子,山西省太原市河西农产品有限公司,2.6,2.6,2.6,元/公斤,2025-9-16 17:50
青椒,山西省太原市河西农产品有限公司,7,7,7,元/公斤,2025-9-16 17:50
尖椒,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
西红柿,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
西兰花,山西省太原市河西农产品有限公司,10,10,10,元/公斤,2025-9-16 17:50
菜花,山西省太原市河西农产品有限公司,6,6,6,元/公斤,2025-9-16 17:50
蒜薹,山西省太原市河西农产品有限公司,5.6,5.6,5.6,元/公斤,2025-9-16 17:50
茭白,山西省太原市河西农产品有限公司,14,10,12,元/公斤,2025-9-16 17:50
莲藕,山西省太原市河西农产品有限公司,6.6,6.6,6.6,元/公斤,2025-9-16 17:50
莴笋,山西省太原市河西农产品有限公司,4.6,4.6,4.6,元/公斤,2025-9-16 17:50
芹菜,山西省太原市河西农产品有限公司,3.2,3.2,3.2,元/公斤,2025-9-16 17:50
大蒜,山西省太原市河西农产品有限公司,7,7,7,元/公斤,2025-9-16 17:50
生姜,山西省太原市河西农产品有限公司,9,9,9,元/公斤,2025-9-16 17:50
大葱,山西省太原市河西农产品有限公司,2.4,2.4,2.4,元/公斤,2025-9-16 17:50
葱头,山西省太原市河西农产品有限公司,1.4,1.4,1.4,元/公斤,2025-9-16 17:50
山药,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
土豆,山西省太原市河西农产品有限公司,1.8,1.8,1.8,元/公斤,2025-9-16 17:50
胡萝卜,山西省太原市河西农产品有限公司,1.6,1.6,1.6,元/公斤,2025-9-16 17:50
蒜苗,山西省太原市河西农产品有限公司,4,3,3.5,元/公斤,2025-9-16 17:50
韭菜,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
空心菜,山西省太原市河西农产品有限公司,9,9,9,元/公斤,2025-9-16 17:50
油麦菜,山西省太原市河西农产品有限公司,8,8,8,元/公斤,2025-9-16 17:50
香菜,山西省太原市河西农产品有限公司,10,9,9.5,元/公斤,2025-9-16 17:50
茼蒿,山西省太原市河西农产品有限公司,9,9,9,元/公斤,2025-9-16 17:50
菠菜,山西省太原市河西农产品有限公司,12,12,12,元/公斤,2025-9-16 17:50
生菜,山西省太原市河西农产品有限公司,4,4,4,元/公斤,2025-9-16 17:50
小白菜,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
油菜,山西省太原市河西农产品有限公司,4,3,3.5,元/公斤,2025-9-16 17:50
甘蓝,山西省太原市河西农产品有限公司,2,2,2,元/公斤,2025-9-16 17:50
洋白菜,山西省太原市河西农产品有限公司,2,2,2,元/公斤,2025-9-16 17:50
红萝卜,山西省太原市河西农产品有限公司,1.6,1.6,1.6,元/公斤,2025-9-16 17:50
白萝卜,山西省太原市河西农产品有限公司,2.2,2.2,2.2,元/公斤,2025-9-16 17:50
水萝卜,山西省太原市河西农产品有限公司,6,6,6,元/公斤,2025-9-16 17:50
良薯,山西省太原市河西农产品有限公司,3,3,3,元/公斤,2025-9-16 17:50
西洋芹,山西省太原市河西农产品有限公司,6,6,6,元/公斤,2025-9-16 17:50
樱桃西红柿,山西省太原市河西农产品有限公司,9,8,8.5,元/公斤,2025-9-16 17:50
红尖椒,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
线椒(皱椒),山西省太原市河西农产品有限公司,9,8,8.5,元/公斤,2025-9-16 17:50
红椒,山西省太原市河西农产品有限公司,6,6,6,元/公斤,2025-9-16 17:50
圆茄子,山西省太原市河西农产品有限公司,2.6,2.6,2.6,元/公斤,2025-9-16 17:50
长茄子,山西省太原市河西农产品有限公司,5,5,5,元/公斤,2025-9-16 17:50
平菇,山西省太原市河西农产品有限公司,8.4,8.4,8.4,元/公斤,2025-9-16 17:50
香菇,山西省太原市河西农产品有限公司,9,9,9,元/公斤,2025-9-16 17:50
金针菇,山西省太原市河西农产品有限公司,7,6,6.5,元/公斤,2025-9-16 17:50
鸡腿菇,山西省太原市河西农产品有限公司,9,8,8.5,元/公斤,2025-9-16 17:50
黑木耳,山西省太原市河西农产品有限公司,60,52,56,元/公斤,2025-9-16 17:50
富士苹果,山西省太原市河西农产品有限公司,10,6,8,元/公斤,2025-9-16 17:50
青苹果,山西省太原市河西农产品有限公司,6,4,5,元/公斤,2025-9-16 17:50
